year,quarter,company,rnd_ratio,rnd_ratio_threshold,below_rnd_threshold,rnd_ratio_ok,rnd_ratio_below
2018,Q1,Ford,0.05257361617327005,0.025,False,0.05257361617327005,
2018,Q2,Ford,0.04754094286637342,0.025,False,0.04754094286637342,
2018,Q3,Ford,0.04999758115233903,0.025,False,0.04999758115233903,
2018,Q4,Ford,0.05164375660867057,0.025,False,0.05164375660867057,
2019,Q1,Ford,0.04947401820800079,0.025,False,0.04947401820800079,
2019,Q2,Ford,0.0506438190905286,0.025,False,0.0506438190905286,
2019,Q3,Ford,0.05081518505295727,0.025,False,0.05081518505295727,
2019,Q4,Ford,0.04925595590148809,0.025,False,0.04925595590148809,
2020,Q1,Ford,0.04717991709748032,0.025,False,0.04717991709748032,
2020,Q2,Ford,0.04732563315605745,0.025,False,0.04732563315605745,
2020,Q3,Ford,0.04719737492695644,0.025,False,0.04719737492695644,
2020,Q4,Ford,0.0488682502248912,0.025,False,0.0488682502248912,
2021,Q1,Ford,0.05096099973204063,0.025,False,0.05096099973204063,
2021,Q2,Ford,0.04700274048315409,0.025,False,0.04700274048315409,
2021,Q3,Ford,0.05009348351498017,0.025,False,0.05009348351498017,
2021,Q4,Ford,0.04771431644616543,0.025,False,0.04771431644616543,
2022,Q1,Ford,0.050446760982874164,0.025,False,0.050446760982874164,
2022,Q2,Ford,0.05258000525800053,0.025,False,0.05258000525800053,
2022,Q3,Ford,0.046177649930265,0.025,False,0.046177649930265,
2022,Q4,Ford,0.04805575935436537,0.025,False,0.04805575935436537,
2023,Q1,Ford,0.045510781194768465,0.025,False,0.045510781194768465,
2023,Q2,Ford,0.046771523178807936,0.025,False,0.046771523178807936,
2023,Q3,Ford,0.04653180413898175,0.025,False,0.04653180413898175,
2023,Q4,Ford,0.04593839887463521,0.025,False,0.04593839887463521,
2024,Q1,Ford,0.04627679211274946,0.025,False,0.04627679211274946,
2024,Q2,Ford,0.051844510516462945,0.025,False,0.051844510516462945,
2024,Q3,Ford,0.04510057052429933,0.025,False,0.04510057052429933,
2024,Q4,Ford,0.04702259151319733,0.025,False,0.04702259151319733,
2025,Q1,Ford,0.0453857791225416,0.025,False,0.0453857791225416,
2025,Q2,Ford,0.04549186072122219,0.025,False,0.04549186072122219,
2025,Q3,Ford,0.048955613577023493,0.025,False,0.048955613577023493,
2025,Q4,Ford,0.048172999023660644,0.025,False,0.048172999023660644,
2018,Q1,GM,0.050125971026663864,0.025,False,0.050125971026663864,
2018,Q2,GM,0.052019663432777585,0.025,False,0.052019663432777585,
2018,Q3,GM,0.04935779353503748,0.025,False,0.04935779353503748,
2018,Q4,GM,0.04986843753915549,0.025,False,0.04986843753915549,
2019,Q1,GM,0.051092811269939926,0.025,False,0.051092811269939926,
2019,Q2,GM,0.045522583097721496,0.025,False,0.045522583097721496,
2019,Q3,GM,0.05167933074276663,0.025,False,0.05167933074276663,
2019,Q4,GM,0.048515791973403,0.025,False,0.048515791973403,
2020,Q1,GM,0.05089205171895359,0.025,False,0.05089205171895359,
2020,Q2,GM,0.04660449601841629,0.025,False,0.04660449601841629,
2020,Q3,GM,0.04802146842117652,0.025,False,0.04802146842117652,
2020,Q4,GM,0.050267506836285815,0.025,False,0.050267506836285815,
2021,Q1,GM,0.049741633264113586,0.025,False,0.049741633264113586,
2021,Q2,GM,0.048851124940162756,0.025,False,0.048851124940162756,
2021,Q3,GM,0.04656885291141569,0.025,False,0.04656885291141569,
2021,Q4,GM,0.04791259344450834,0.025,False,0.04791259344450834,
2022,Q1,GM,0.042903614731909276,0.025,False,0.042903614731909276,
2022,Q2,GM,0.05239502674711156,0.025,False,0.05239502674711156,
2022,Q3,GM,0.04860286731805314,0.025,False,0.04860286731805314,
2022,Q4,GM,0.048471032513585706,0.025,False,0.048471032513585706,
2023,Q1,GM,0.04417044915656121,0.025,False,0.04417044915656121,
2023,Q2,GM,0.0447309392626146,0.025,False,0.0447309392626146,
2023,Q3,GM,0.046036838444798424,0.025,False,0.046036838444798424,
2023,Q4,GM,0.04519033628543045,0.025,False,0.04519033628543045,
2024,Q1,GM,0.045029473031068565,0.025,False,0.045029473031068565,
2024,Q2,GM,0.04807650698861915,0.025,False,0.04807650698861915,
2024,Q3,GM,0.04605080139521945,0.025,False,0.04605080139521945,
2024,Q4,GM,0.04224629652427264,0.025,False,0.04224629652427264,
2025,Q1,GM,0.046166130828552816,0.025,False,0.046166130828552816,
2025,Q2,GM,0.044005492764339287,0.025,False,0.044005492764339287,
2025,Q3,GM,0.04572811317242663,0.025,False,0.04572811317242663,
2025,Q4,GM,0.04418922724164286,0.025,False,0.04418922724164286,
2018,Q1,Rivian,0.4100185528756957,0.025,False,0.4100185528756957,
2018,Q2,Rivian,0.4030658250676285,0.025,False,0.4030658250676285,
2018,Q3,Rivian,0.38947368421052636,0.025,False,0.38947368421052636,
2018,Q4,Rivian,0.3956709956709957,0.025,False,0.3956709956709957,
2019,Q1,Rivian,0.39267886855241263,0.025,False,0.39267886855241263,
2019,Q2,Rivian,0.40342298288508555,0.025,False,0.40342298288508555,
2019,Q3,Rivian,0.4100080710250201,0.025,False,0.4100080710250201,
2019,Q4,Rivian,0.40435835351089583,0.025,False,0.40435835351089583,
2020,Q1,Rivian,0.38745098039215686,0.025,False,0.38745098039215686,
2020,Q2,Rivian,0.3996937212863706,0.025,False,0.3996937212863706,
2020,Q3,Rivian,0.3665689149560117,0.025,False,0.3665689149560117,
2020,Q4,Rivian,0.3978102189781022,0.025,False,0.3978102189781022,
2021,Q1,Rivian,0.36853295535081504,0.025,False,0.36853295535081504,
